infile,outfile,x,y,width,height
044.png,lesson-4/phrase-01.png,39,17,90,70
044.png,lesson-4/phrase-02.png,44,158,319,64
045.png,lesson-4/phrase-03.png,56,7,78,66
045.png,lesson-4/phrase-04.png,62,128,417,72
046.png,lesson-4/phrase-05.png,52,83,129,61
046.png,lesson-4/phrase-06.png,508,78,78,61
046.png,lesson-4/phrase-07.png,51,206,109,59
046.png,lesson-4/phrase-08.png,508,204,87,51
046.png,lesson-4/phrase-09.png,50,337,60,57
046.png,lesson-4/phrase-10.png,348,320,96,58
046.png,lesson-4/phrase-11.png,715,322,87,52
046.png,lesson-4/phrase-12.png,56,440,111,63
046.png,lesson-4/phrase-13.png,391,445,91,52
046.png,lesson-4/phrase-14.png,623,433,85,60
046.png,lesson-4/phrase-15.png,59,560,97,56
046.png,lesson-4/phrase-16.png,383,564,128,57
046.png,lesson-4/phrase-17.png,67,669,264,73
047.png,lesson-4/phrase-18.png,21,87,117,73
047.png,lesson-4/phrase-19.png,365,83,88,74
047.png,lesson-4/phrase-20.png,680,66,130,76
047.png,lesson-4/phrase-21.png,21,222,111,70
047.png,lesson-4/phrase-22.png,361,210,99,71
047.png,lesson-4/phrase-23.png,680,225,113,59
047.png,lesson-4/phrase-24.png,29,345,64,87
047.png,lesson-4/phrase-25.png,370,341,82,67
047.png,lesson-4/phrase-26.png,666,344,152,67
047.png,lesson-4/phrase-27.png,29,465,91,80
047.png,lesson-4/phrase-28.png,367,460,64,75
047.png,lesson-4/phrase-29.png,666,466,75,70
